AAP_Share_D         : 55254206302462116
ABFAR_Share_D       : deleted
ABIN_Share_D        : 9987529074833218#
ADAK_Share_D        : 14880127004206268#
AFRA_Share_D        : 52792903131341205#
AKHABER_Share_D     : 22811176775480091#
AKONTOR_Share_D     : 44834847569322522#
ALBORZ_Share_D      : 70270965300262393
ANFORMATIC_Share_D  : 53361855643723578#
APARDAZ_Share_D     : 63830424809501048
ARFA_Share_D        : 59266699437480384
ARIYAN_Share_D      : 6506179926371994#
ARMAN_Share_D       : 38738476064699383#
ASIA_Share_D        : 51106317433079213#
ASP_Share_D         : 17617474823279712#
AYANDEH_Share_D     : 17933573078185644#
BALAS_Share_D       : 8646067353086740
BAREKAT_Share_D     : 34557241988629814#
BEAKHTAR_Share_D    : deleted
BEALBOR_Share_D     : 62952165421099192
BEDKO_Share_D       : 52894922031595796#
BEFAJR_Share_D      : 46178280540110577
BEGHOVEH_Share_D    : deleted
BEHPAK_Share_D      : 12746730665870442
BEIKA_Share_D       : 23891830829322971#
BEJAHROM_Share_D    : 33629260529503413#
BEKAB_Share_D       : 70219663893822560#
BEKAHNOJ_Share_D    : 7628308021169118#
BEKAM_Share_D       : 22382156782768756#
BEKHAVAR_Share_D    : 45452485689363029#
BEMAPNA_Share_D     : 39807886630843041#
BEMILA_Share_D      : 16553062355259729
BEMOTO_Share_D      : 22086876724551482
BENIROO_Share_D     : 20453828618330936
BEPAS_Share_D       : 51971068201094874#
BESAMA_Share_D      : 41625340598198551
BESHAHAB_Share_D    : 69454539056549106
BESWITHC_Share_D    : 47377315952751604
BETAK_Share_D       : 54369290104873523
BETERANS_Share_D    : 46752599569017089
BEZAGROS_Share_D    : 29882244560576007
BOURSE3_Share_D     : deleted
BOURSE_Share_D      : 60523145697836739
Baran_Share_D       : 46247216629420121
CEARAB_Share_D      : 4563413583000719
CEARBIL_Share_D     : 34890845654517313
CEBAGHER_Share_D    : 24807173016704795
CEBAHAN_Share_D     : 32525655729432562
CEBOJNOO_Share_D    : 66295665969375744
CEDASHT_Share_D     : 27000326841257664
CEDOUR_Share_D      : 27218386411183410
CEFANO_Share_D      : 4528607775462304
CEFARS_Share_D      : 15521712617204216
CEFAR_Share_D       : 41227201752535311
CEGHARB_Share_D     : 52220424531578944
CEGHAYEN_Share_D    : 60654872678917533
CEHEGMAT_Share_D    : 41284516796232939
CEHORMOZ_Share_D    : 29747059672582491
CEILAM_Share_D      : 14617104402836487
CEJAM_Share_D       : 20034264486679145
CEKAROON_Share_D    : 15930821245168534
CEKERMA_Share_D     : 15472396110662150
CEKHAF_Share_D      : 55959112038778737
CEKHASH_Share_D     : 4470657233334072
CEKHAZAR_Share_D    : 67327029014085707
CEKHOOZ_Share_D     : 41974758296041288
CEKORD_Share_D      : 65321970913593427
CELAR_Share_D       : 61664227282090067
CEMAZAN_Share_D     : 33808206014018431
CEMOTAZ_Share_D     : 58035444268544991
CENEYR_Share_D      : 14231831499205396
CEOROUM_Share_D     : 15949743338644220
CEPAHA_Share_D      : 35669480110084448
CEROOD_Share_D      : 11964419322927535
CESFAHA_Share_D     : 10568944722570445
CESHARGH_Share_D    : 26997316501080743
CESHOMAL_Share_D    : 6757220448540984
CESOOFI_Share_D     : 13227300125161435
CETRAN_Share_D      : 30829203706095076
CHAFFSET_Share_D    : 23936607891892333
CHEBESPA_Share_D    : deleted
CHEFIBER_Share_D    : 64358061873294912
CHEKAGHAZ_Share_D   : deleted
CHEKAPA_Share_D     : 12329915567896606
CHEKAREL_Share_D    : deleted
CHEKAREM_Share_D    : 59887423232292688
CHEKAREN_Share_D    : 53113471126689455#
CHEKARP_Share_D     : deleted
CHEKAVEH_Share_D    : 24254843881948059
CHENOPA_Share_D     : deleted
CHLOR_Share_D       : 1822787329898392
CHODAN_Share_D      : 12329519546621752
DAMAVAND_Share_D    : 66142616039907394
DANA_Share_D        : 48511238766369097
DARAB_Share_D       : 27299841173245405
DAROO_Share_D       : 67988012428906654
DAVE_Share_D        : 5305844922895340
DEABID_Share_D      : 49054891736433700
DEABOR_Share_D      : 61332057061846617
DEALBOR_Share_D     : 60451823714332895
DEAMIN_Share_D      : 50100062518826135
DEBALK_Share_D      : 71510396252618330
DEDAM_Share_D       : 66450490505950110
DEFARA_Share_D      : 56550776668133562
DEFRA_Share_D       : 18303237082155264
DEGHAZI_Share_D     : 64289770858657141
DEHAVI_Share_D      : 43374709930371268
DEHDASHT_Share_D    : 15374483986949695
DEJABER_Share_D     : 33406621820337161
DEKAPSOL_Share_D    : 52382684379473036
DEKIMI_Share_D      : 20024911381434086
DEKOSAR_Share_D     : 23353689102956991
DELER_Share_D       : 4384288570322406
DELOGHMA_Share_D    : 29247915161590165
DEOSVEH_Share_D     : 12387472624849835
DEPARS_Share_D      : 70474983732269112
DERAHAVAR_Share_D   : 13243992182070788
DERAZAK_Share_D     : 22255783119783047
DERISHMAK_Share_D   : not found
DEROOZ_Share_D      : 40262275031537922
DESANKO_Share_D     : not found
DESHIMI_Share_D     : 33603212156438463
DESHIRI_Share_D     : 63084741752814852
DESINA_Share_D      : 11432067920374603
DESOBHAN_Share_D    : 5866848234665627
DESOBHA_Share_D     : 43622578471330344
DETEHRAN_Share_D    : deleted
DETMAD_Share_D      : 34641719089573667
DETOLID_Share_D     : 18093681647131179
DETOZI_Share_D      : 66726992874614788
DEYRAN_Share_D      : 69090868458637360
DEY_Share_D         : 44818950263583523
DEZAHRAVI_Share_D   : 8915450910866216
EKALA_Share_D       : 49869693814643443
ENERGY1_Share_D     : 33343732576627331
ENERGY2_Share_D     : 37272387813342140
ENERGY3_Share_D     : 39171819040364290
ETEKAE_Share_D      : 39751275523025334
ETEKAM_Share_D      : 46772701938567445
ETELA_Share_D       : 36773155987365094
EVAN_Share_D        : 69847139870135237
FAJR_Share_D        : 41302553376174581
FALAT_Share_D       : 60633055620418060
FALBER_Share_D      : deleted
FAMA_Share_D        : 34673681828119297
FANAVA_Share_D      : 55201604487356053
FARABOURSE_Share_D  : 58741071099161284
FARAK_Share_D       : 20865316761157979
FARAVAR_Share_D     : 408934423224097
FARS_Share_D        : 25244329144808274
FASA_Share_D        : 318005355896147
FAVAN_Share_D       : deleted
FAZAR_Share_D       : 38547060135156069
FBASTEM_Share_D     : 4159532151694984
FBIRA_Share_D       : 49399017998386087
FEAFZA_Share_D      : 66021783818850713
FEAHWAZ_Share_D     : 44296315953738727
FEALUM_Share_D      : 19367527798307032
FEASMIN_Share_D     : 66701874099226162
FEBAHONAR_Share_D   : 66772024744156373
FEIRA_Share_D       : 65004959184388996
FEKHAS_Share_D      : 4733285133017464
FEKHOZ_Share_D      : 28864540805361867
FELOLEH_Share_D     : 48623320733330408
FEMAK_Share_D       : 35445515321658835
FEMELI_Share_D      : 35425587644337450
FEMORAD_Share_D     : 18004480270695404
FENAFT_Share_D      : 59342912854668427
FENAVAL_Share_D     : 57875847776839336
FENAVARD_Share_D    : 56324206651661881
FEOLAD_Share_D      : 46348559193224090
FEOLAJH_Share_D     : 40808043719554948
FEOLAY_Share_D      : 14800142337291217
FEPANTA_Share_D     : 68488673556087148
FEPARS_Share_D      : deleted
FEPORO_Share_D      : deleted
FEROM_Share_D       : deleted
FEROS_Share_D       : 54419429862704331
FEROY_Share_D       : 29974853866926823
FESADID_Share_D     : 20966291817819448
FESAZAN_Share_D     : 12874072841236826
FESEPA_Share_D      : 8977441217024425
FESORB_Share_D      : 54277068923045214
FEZARIN_Share_D     : 43716452378323683
FGHOTI_Share_D      : deleted
FJAM_Share_D        : 30765727085936322
FJOOSH_Share_D      : 64485827086284311
FLAMI_Share_D       : 25286509736208688
FLEZI_Share_D       : deleted
FNERGY_Share_D      : 63965059137798192
FOKA_Share_D        : 66514709341259550
FPAY_Share_D        : deleted
FSOLIR_Share_D      : 43026118635839182
GAZSEKE_Share_D     : 57551382352708199
GEKISH_Share_D      : 44665761767777759
GEKOWSAR_Share_D    : 66599109405217136
GEPARS_Share_D      : 59848307608894801
GESHAN_Share_D      : 70391097626818082
GHALBER_Share_D     : 24303422207378456
GHARN_Share_D       : 39610074039667804
GHASEM_Share_D      : 34540569618314880
GHAZVIN_Share_D     : 15259343650667588
GHEAZAR_Share_D     : 35158826900216508
GHEBAHAR_Share_D    : 71666521540545716
GHEBEHNOOSH_Share_D : 17059960254855208
GHEBESHAHR_Share_D  : 42387718866026650
GHECHAR_Share_D     : 23600798892801694
GHECHIN_Share_D     : 44850033148208596
GHEDAM_Share_D      : 2254054929817435
GHEDASHT_Share_D    : 2434703913394836
GHEDIS_Share_D      : 3492952121304423
GHEFARS_Share_D     : 16410724132711490
GHEGOLESTA_Share_D  : 64843936383937546
GHEGOL_Share_D      : 22299894048845903
GHEGORG_Share_D     : deleted
GHEGORJI_Share_D    : 31024260997481994
GHEHEKMAT_Share_D   : 14398278072324784
GHEJAHAN_Share_D    : deleted
GHEJAM_Share_D      : 28230238564334914
GHELOREST_Share_D   : 56820995669577571
GHEMAHRA_Share_D    : 6131290133202745
GHEMARG_Share_D     : 52975109254504632
GHEMARV_Share_D     : 43342306308122676
GHEMASHHAD_Share_D  : deleted
GHEMINOO_Share_D    : 5516102131364383
GHENAB_Share_D      : 42470251469508137
GHENAGHSH_Share_D   : 3050342257199174
GHENISHA_Share_D    : 63380098535169030
